"","PeriodID","PeriodValue","Latitude","Longitude","SentimentType","Type","EntityName"
"456",31,"03 Feb 2015",31.649895,-84.1626861,0,"O","Joe Biden"
"457",31,"03 Feb 2015",32.8795022,-111.7573521,1,"P","Joe Biden"
"458",31,"03 Feb 2015",34.0522342,-118.2436849,1,"P","Joe Biden"
"459",31,"03 Feb 2015",33.6839473,-117.7946942,0,"O","Joe Biden"
"460",31,"03 Feb 2015",24.633333,46.716667,1,"P","Joe Biden"
"461",31,"03 Feb 2015",24.633333,46.716667,1,"P","Joe Biden"
"462",31,"03 Feb 2015",45.3565074,-122.840098,1,"P","Joe Biden"
"463",31,"03 Feb 2015",33.7700504,-118.1937395,1,"P","Joe Biden"
"464",29,"03 Jan 2015",39.6837226,-75.7496572,0,"O","Joe Biden"
"465",29,"03 Jan 2015",32.1656221,-82.9000751,1,"P","Joe Biden"
"466",29,"03 Jan 2015",44.9537029,-93.0899578,-1,"N","Joe Biden"
"467",29,"03 Jan 2015",33.7877944,-117.8531119,-1,"N","Joe Biden"
"468",31,"03 Feb 2015",43.653226,-79.3831843,-1,"N","Joe Biden"
"469",31,"03 Feb 2015",32.8795022,-111.7573521,1,"P","Joe Biden"
"470",29,"03 Jan 2015",40.1208752,9.0128926,1,"P","Joe Biden"
"471",29,"03 Jan 2015",-22.9279344,-46.5490312,1,"P","Joe Biden"
"472",29,"03 Jan 2015",37.8043637,-122.2711137,1,"P","Joe Biden"
"473",29,"03 Jan 2015",30.2394843,-97.7280914,1,"P","Joe Biden"
"474",29,"03 Jan 2015",32.1656221,-82.9000751,1,"P","Joe Biden"
"475",29,"03 Jan 2015",32.1656221,-82.9000751,-1,"N","Joe Biden"
"476",29,"03 Jan 2015",10.5004352,-66.9511459,-1,"N","Joe Biden"
"477",29,"03 Jan 2015",-29.7549941,-51.150283,1,"P","Joe Biden"
"478",29,"03 Jan 2015",39.7384357,-104.9848593,1,"P","Joe Biden"
"479",29,"03 Jan 2015",25.7616798,-80.1917902,1,"P","Joe Biden"
"480",29,"03 Jan 2015",-8.0578381,-34.8828969,1,"P","Joe Biden"
"481",29,"03 Jan 2015",40.1208752,9.0128926,1,"P","Joe Biden"
"482",29,"03 Jan 2015",10.5004352,-66.9511459,0,"O","Joe Biden"
"483",29,"03 Jan 2015",10.633333,-71.633333,-1,"N","Joe Biden"
"484",29,"03 Jan 2015",-15.7941874,-47.8825852,1,"P","Joe Biden"
"485",29,"03 Jan 2015",10.5004352,-66.9511459,1,"P","Joe Biden"
"486",29,"03 Jan 2015",9.366667,-70.433056,-1,"N","Joe Biden"
"487",29,"03 Jan 2015",-15.7941874,-47.8825852,1,"P","Joe Biden"
"488",29,"03 Jan 2015",32.7316217,-117.127946,1,"P","Joe Biden"
"489",29,"03 Jan 2015",-3.7318616,-38.5266704,1,"P","Joe Biden"
"490",29,"03 Jan 2015",33.1972465,-96.6397822,1,"P","Joe Biden"
"491",29,"03 Jan 2015",34.0522342,-118.2436849,1,"P","Joe Biden"
"492",29,"03 Jan 2015",18.485497,-69.873406,0,"O","Joe Biden"
"493",29,"03 Jan 2015",6.42375,-66.58973,0,"O","Joe Biden"
"494",29,"03 Jan 2015",36.6436731,-93.2185144,1,"P","Joe Biden"
"495",29,"03 Jan 2015",27.950575,-82.4571776,1,"P","Joe Biden"
"496",29,"03 Jan 2015",33.4936391,-117.1483648,1,"P","Joe Biden"
"497",29,"03 Jan 2015",44.3148443,-85.6023643,1,"P","Joe Biden"
"498",29,"03 Jan 2015",10.063611,-69.334722,-1,"N","Joe Biden"
"499",29,"03 Jan 2015",40.6528762,-73.959494,0,"O","Joe Biden"
"500",28,"25 Dec 2014",27.6648274,-81.5157535,-1,"N","Joe Biden"
"501",28,"25 Dec 2014",40.1578402,-83.0751869,1,"P","Joe Biden"
"502",28,"25 Dec 2014",38.5976262,-80.4549026,-1,"N","Joe Biden"
"503",29,"03 Jan 2015",39.238056,-81.670556,-1,"N","Joe Biden"
"504",29,"03 Jan 2015",40.735657,-74.1723667,1,"P","Joe Biden"
"505",29,"03 Jan 2015",39.1370528,-76.6983022,-1,"N","Joe Biden"
"506",28,"25 Dec 2014",40.7127837,-74.0059413,-1,"N","Joe Biden"
"507",28,"25 Dec 2014",42.315407,43.356892,1,"P","Joe Biden"
"508",28,"25 Dec 2014",38.9108325,-75.5276699,-1,"N","Joe Biden"
